date,province,rainfall_mm,water_level_m,temperature_c,humidity_percent,is_flood
2020-01-01,Nakhon Sawan,19.93,5.82,37,75,0
2020-01-01,Nakhon Si Thammarat,5.1,5.29,25,64,0
2020-01-01,Nakhon Sawan,14.72,5.59,26,62,0
2020-01-01,Ayutthaya,18.81,5.73,31,93,0
2020-01-01,Pathum Thani,11.85,7.56,32,71,0
2020-01-01,Khon Kaen,18.06,5.67,34,88,0
2020-01-01,Chiang Mai,14.96,5.28,28,93,0
2020-01-01,Pathum Thani,15.54,7.76,26,66,0
2020-01-01,Nan,11.58,5.4,35,91,0
2020-01-01,Nakhon Si Thammarat,18.08,6.53,32,89,0
2020-01-01,Chiang Mai,1.43,6.07,31,65,0
2020-01-01,Khon Kaen,5.01,5.4,35,66,0
2020-01-01,Nan,9.61,6.27,32,62,0
2020-01-01,Nakhon Sawan,17.69,6.03,35,66,0
2020-01-01,Chiang Rai,16.81,7.18,26,70,0
2020-01-01,Songkhla,11.58,5.11,28,91,0
2020-01-01,Chiang Mai,14.33,6.27,34,61,0
2020-01-01,Surat Thani,14.75,5.21,28,62,0
2020-01-01,Ubon Ratchathani,8.29,6.78,36,68,0
2020-01-01,Nan,13.61,6.23,36,78,0
2020-01-01,Nakhon Sawan,6.1,5.59,25,85,0
2020-01-01,Nakhon Si Thammarat,3.1,3.26,37,60,0
2020-01-01,Nakhon Ratchasima,13.68,7.91,26,66,0
2020-01-01,Nakhon Ratchasima,13.2,4.69,33,69,0
2020-01-01,Pathum Thani,12.71,4.86,29,92,0
2020-01-01,Nakhon Ratchasima,7.76,6.71,26,82,0
2020-01-01,Chiang Rai,5.82,4.03,29,62,0
2020-01-01,Ayutthaya,2.55,5.47,30,72,0
2020-01-01,Nakhon Si Thammarat,2.38,5.33,35,62,0
2020-01-01,Ayutthaya,4.1,5.19,29,78,0
2020-01-01,Phrae,4.35,4.51,37,61,0
2020-01-01,Phrae,15.05,5.12,37,73,0
2020-01-01,Pathum Thani,6.99,4.4,33,69,0
2020-01-01,Nakhon Si Thammarat,8.46,3.43,37,92,0
2020-01-01,Ubon Ratchathani,10.74,5.86,31,94,0
2020-01-01,Nan,5.32,4.05,35,77,0
2020-01-01,Songkhla,4.76,4.05,28,89,0
2020-01-01,Chiang Rai,15.3,6.15,35,79,0
2020-01-01,Sukhothai,4.2,4.92,30,85,0
2020-01-01,Phrae,10.46,4.64,36,87,0
2020-01-01,Surat Thani,3.69,6.29,30,85,0
2020-01-01,Phrae,8.93,4.69,27,81,0
2020-01-01,Pathum Thani,9.02,5.67,29,73,0
2020-01-01,Chiang Mai,2.56,7.3,27,87,0
2020-01-01,Chiang Rai,18.59,6.43,31,91,0
2020-01-01,Nan,4.07,5.54,26,76,0
2020-01-01,Nakhon Ratchasima,6.25,5.62,32,65,0
2020-01-01,Songkhla,14.0,6.22,29,80,0
2020-01-01,Ayutthaya,4.56,5.75,25,61,0
2020-01-01,Phrae,2.95,4.66,36,84,0
2020-01-01,Khon Kaen,2.37,4.32,34,87,0
2020-01-01,Nakhon Ratchasima,13.36,5.51,28,76,0
2020-01-01,Songkhla,4.1,5.28,28,91,0
2020-01-01,Bangkok,16.63,4.64,37,62,0
2020-01-01,Pathum Thani,4.5,5.19,31,90,0
2020-01-01,Bangkok,16.23,5.59,26,89,0
2020-01-01,Khon Kaen,2.08,5.5,33,80,0
2020-01-01,Khon Kaen,4.57,3.75,34,75,0
2020-01-01,Khon Kaen,16.66,6.53,29,88,0
2020-01-01,Songkhla,1.08,4.8,26,70,0
2020-01-01,Pathum Thani,10.86,4.88,28,91,0
2020-01-01,Nakhon Ratchasima,4.47,3.53,35,93,0
2020-01-01,Pathum Thani,0.75,4.34,34,78,0
2020-01-01,Surat Thani,13.66,5.91,34,63,0
2020-01-01,Ayutthaya,16.13,5.98,29,66,0
2020-01-01,Nakhon Ratchasima,4.07,4.87,31,94,0
2020-01-01,Khon Kaen,3.64,6.56,31,89,0
2020-01-01,Nakhon Si Thammarat,3.31,5.93,26,79,0
2020-01-01,Surat Thani,14.94,4.6,25,81,0
2020-01-01,Khon Kaen,6.21,4.24,29,77,0
2020-01-01,Pathum Thani,8.88,5.12,30,62,0
2020-01-01,Ubon Ratchathani,17.06,5.04,34,78,0
2020-01-01,Nan,18.54,5.27,29,68,0
2020-01-01,Nakhon Si Thammarat,0.97,5.55,25,77,0
2020-01-01,Nakhon Sawan,4.39,3.79,37,79,0
2020-01-01,Songkhla,18.51,6.1,37,75,0
2020-01-01,Ayutthaya,6.47,5.39,29,87,0
2020-01-01,Bangkok,2.98,4.61,31,69,0
2020-01-01,Pathum Thani,17.03,5.94,29,60,0
2020-01-01,Nakhon Ratchasima,11.75,4.21,34,64,0
2020-01-01,Chiang Rai,4.5,5.16,33,61,0
2020-01-01,Pathum Thani,13.45,5.78,36,73,0
2020-01-01,Nakhon Ratchasima,15.32,5.92,36,89,0
2020-01-01,Bangkok,6.04,4.5,27,83,0
2020-01-01,Nakhon Si Thammarat,17.03,6.34,33,62,0
2020-01-01,Nakhon Si Thammarat,5.35,6.3,28,76,0
2020-01-01,Bangkok,0.32,5.07,28,62,0
2020-01-01,Surat Thani,13.87,5.32,37,63,0
2020-01-01,Songkhla,14.71,5.82,25,88,0
2020-01-01,Nakhon Ratchasima,6.67,5.39,27,66,0
2020-01-01,Bangkok,13.45,5.77,27,90,0
2020-01-01,Nakhon Si Thammarat,7.46,5.5,29,83,0
2020-01-01,Chiang Mai,4.23,4.83,29,92,0
2020-01-01,Nakhon Ratchasima,3.73,7.22,32,93,0
2020-01-01,Nan,1.4,4.12,30,77,0
2020-01-01,Bangkok,1.43,5.86,31,89,0
2020-01-01,Nakhon Ratchasima,9.31,4.71,31,91,0
2020-01-01,Nakhon Sawan,7.14,5.65,26,64,0
2020-01-01,Nakhon Sawan,0.68,4.71,30,76,0
2020-01-01,Nakhon Sawan,13.53,5.34,37,63,0
2020-01-01,Nan,10.38,4.8,30,91,0
2020-01-01,Sukhothai,4.7,5.94,29,87,0
2020-01-01,Phrae,7.76,6.7,37,66,0
2020-01-01,Bangkok,8.5,4.75,34,75,0
2020-01-01,Chiang Rai,2.43,5.42,35,86,0
2020-01-01,Khon Kaen,12.68,6.86,30,71,0
2020-01-01,Chiang Mai,16.25,5.3,37,73,0
2020-01-01,Chiang Mai,8.17,5.14,26,85,0
2020-01-01,Bangkok,11.52,5.52,31,87,0
2020-01-01,Sukhothai,10.43,6.32,34,94,0
2020-01-01,Surat Thani,14.66,5.27,35,90,0
2020-01-01,Ubon Ratchathani,3.76,5.99,37,70,0
2020-01-01,Ubon Ratchathani,0.34,5.97,33,88,0
2020-01-01,Khon Kaen,3.8,4.81,34,82,0
2020-01-01,Pathum Thani,4.51,4.67,27,81,0
2020-01-01,Nakhon Sawan,9.07,8.23,34,66,0
2020-01-01,Ubon Ratchathani,7.72,6.27,33,90,0
2020-01-01,Nakhon Ratchasima,6.02,4.56,31,69,0
2020-01-01,Songkhla,4.9,3.95,29,91,0
2020-01-01,Nakhon Sawan,6.28,5.26,30,91,0
2020-01-01,Nakhon Si Thammarat,2.47,6.23,28,73,0
2020-01-01,Khon Kaen,19.1,4.72,37,79,0
2020-01-01,Bangkok,13.81,5.44,36,65,0
2020-01-01,Chiang Rai,19.44,6.0,25,67,0
2020-01-01,Chiang Rai,1.86,7.27,25,81,0
2020-01-01,Ayutthaya,3.71,6.2,26,84,0
2020-01-01,Ayutthaya,15.39,6.51,28,65,0
2020-01-01,Nan,5.88,5.04,30,76,0
2020-01-01,Songkhla,14.34,5.03,34,80,0
2020-01-01,Nakhon Si Thammarat,10.62,6.7,26,90,0
2020-01-01,Phrae,18.38,6.06,27,63,0
2020-01-01,Songkhla,10.13,5.49,37,81,0
2020-01-01,Chiang Mai,19.68,6.64,27,61,0
2020-01-01,Nakhon Si Thammarat,19.23,5.27,26,92,0
2020-01-01,Songkhla,1.98,3.7,27,80,0
2020-01-01,Sukhothai,1.92,4.5,35,80,0
2020-01-01,Chiang Mai,16.47,6.51,30,62,0
2020-01-01,Sukhothai,15.47,5.14,37,86,0
2020-01-01,Pathum Thani,12.1,7.75,31,82,0
2020-01-01,Khon Kaen,8.22,5.83,34,67,0
2020-01-01,Nakhon Si Thammarat,4.61,7.54,26,79,0
2020-01-01,Nakhon Sawan,7.34,4.74,34,93,0
2020-01-01,Nan,17.4,4.72,25,73,0
2020-01-01,Chiang Mai,19.03,7.49,32,75,0
2020-01-01,Phrae,13.08,5.32,28,75,0
2020-01-01,Bangkok,5.8,4.52,32,70,0
2020-01-01,Nakhon Sawan,3.73,3.86,27,70,0
2020-01-01,Chiang Rai,15.52,6.57,34,61,0
2020-01-01,Nakhon Ratchasima,11.77,4.93,33,87,0
2020-01-01,Ayutthaya,14.32,5.8,30,74,0
2020-01-01,Nakhon Sawan,1.02,6.22,37,84,0
2020-01-01,Ayutthaya,6.38,6.76,29,77,0
2020-01-01,Songkhla,1.34,6.45,29,70,0
2020-01-01,Chiang Rai,3.02,4.68,26,78,0
2020-01-01,Chiang Mai,10.19,6.08,28,74,0
2020-01-01,Songkhla,1.24,3.98,30,64,0
2020-01-01,Ayutthaya,0.35,6.57,25,76,0
2020-01-01,Bangkok,15.69,3.13,35,83,0
2020-01-01,Phrae,13.62,5.86,36,62,0
2020-01-01,Songkhla,0.03,5.15,34,65,0
2020-01-01,Ubon Ratchathani,5.74,5.57,29,76,0
2020-01-01,Phrae,12.17,5.11,31,94,0
2020-01-01,Phrae,14.37,6.55,34,90,0
2020-01-01,Sukhothai,15.74,5.3,36,63,0
2020-01-01,Ubon Ratchathani,16.03,5.08,32,81,0
2020-01-01,Chiang Mai,16.02,5.97,35,94,0
2020-01-01,Songkhla,12.12,4.17,28,61,0
2020-01-01,Nan,16.53,5.79,30,60,0
2020-01-01,Ayutthaya,11.51,5.32,26,90,0
2020-01-01,Khon Kaen,16.46,6.62,36,73,0
2020-01-01,Ayutthaya,9.59,4.74,27,64,0
2020-01-01,Surat Thani,6.65,5.85,37,87,0
2020-01-01,Nakhon Si Thammarat,15.36,5.88,37,64,0
2020-01-01,Nakhon Ratchasima,11.04,5.95,28,80,0
2020-01-01,Songkhla,19.63,8.29,26,90,0
2020-01-01,Ayutthaya,1.49,5.0,30,64,0
2020-01-01,Chiang Mai,10.37,5.57,30,64,0
2020-01-01,Nakhon Si Thammarat,10.52,5.06,27,68,0
2020-01-01,Ubon Ratchathani,0.63,4.07,25,66,0
2020-01-01,Nakhon Sawan,0.38,3.27,36,91,0
2020-01-01,Nan,10.72,6.4,25,82,0
2020-01-01,Nakhon Si Thammarat,12.97,5.17,32,92,0
2020-01-01,Bangkok,9.04,5.24,25,93,0
2020-01-01,Chiang Mai,18.56,5.7,30,76,0
2020-01-01,Nakhon Ratchasima,11.16,5.31,31,72,0
2020-01-01,Phrae,19.71,6.47,30,61,0
2020-01-01,Sukhothai,10.7,5.26,36,62,0
2020-01-01,Chiang Mai,6.52,5.33,28,78,0
2020-01-01,Chiang Mai,0.8,5.09,29,79,0
2020-01-01,Nakhon Ratchasima,18.09,6.62,36,78,0
2020-01-01,Khon Kaen,14.74,5.56,30,94,0
2020-01-01,Nakhon Si Thammarat,5.01,4.47,25,64,0
2020-01-01,Nakhon Si Thammarat,12.37,3.68,27,63,0
2020-01-01,Phrae,2.02,4.86,33,82,0
2020-01-01,Surat Thani,1.09,5.75,34,68,0
2020-01-01,Nakhon Sawan,0.72,5.94,36,64,0
2020-01-01,Surat Thani,14.21,5.92,28,75,0
2020-01-01,Chiang Mai,0.69,5.17,29,90,0
2020-01-01,Ubon Ratchathani,16.5,5.59,35,87,0
2020-01-01,Chiang Rai,0.81,6.21,30,60,0
2020-01-01,Surat Thani,1.22,4.77,29,79,0
2020-01-01,Sukhothai,16.27,5.27,34,92,0
2020-01-01,Bangkok,16.03,4.44,34,76,0
2020-01-01,Pathum Thani,18.45,5.94,30,89,0
2020-01-01,Phrae,10.3,4.58,36,90,0
2020-01-01,Khon Kaen,17.91,5.96,30,81,0
2020-01-01,Bangkok,12.04,6.84,25,67,0
2020-01-01,Sukhothai,16.25,6.95,26,85,0
2020-01-01,Sukhothai,7.43,4.98,26,75,0
2020-01-01,Surat Thani,16.66,7.7,36,67,0
2020-01-01,Pathum Thani,9.43,4.0,37,75,0
2020-01-01,Nakhon Ratchasima,16.92,5.27,33,73,0
2020-01-01,Chiang Mai,17.7,5.92,25,90,0
2020-01-01,Pathum Thani,1.83,4.42,31,94,0
2020-01-01,Pathum Thani,1.66,5.9,28,88,0
2020-01-01,Sukhothai,14.51,5.48,30,71,0
2020-01-01,Nakhon Sawan,17.82,5.53,25,83,0
2020-01-01,Nakhon Si Thammarat,12.36,5.7,26,84,0
2020-01-01,Songkhla,15.56,3.58,32,79,0
2020-01-01,Nakhon Ratchasima,17.46,6.7,35,89,0
2020-01-01,Surat Thani,0.82,5.85,26,80,0
2020-01-01,Bangkok,2.52,7.19,29,85,0
2020-01-01,Songkhla,7.51,7.39,27,81,0
2020-01-01,Nakhon Sawan,12.97,4.31,29,71,0
2020-01-01,Nan,11.12,5.23,29,79,0
2020-01-01,Khon Kaen,7.3,4.04,29,64,0
2020-01-01,Pathum Thani,12.54,5.57,28,85,0
2020-01-01,Nakhon Si Thammarat,4.92,5.75,34,76,0
2020-01-01,Nan,19.95,5.59,30,72,0
2020-01-01,Surat Thani,2.07,5.61,30,61,0
2020-01-01,Nakhon Si Thammarat,7.25,6.18,36,84,0
2020-01-01,Ubon Ratchathani,19.18,3.39,37,81,0
2020-01-01,Chiang Mai,11.78,6.1,26,63,0
2020-01-01,Songkhla,4.45,6.57,27,64,0
2020-01-01,Khon Kaen,14.76,4.73,37,71,0
2020-01-01,Phrae,15.37,5.25,27,71,0
2020-01-01,Bangkok,2.67,3.94,27,66,0
2020-01-01,Sukhothai,8.59,6.66,30,72,0
2020-01-01,Chiang Mai,16.77,6.0,37,83,0
2020-01-01,Chiang Mai,5.71,5.54,34,92,0
2020-01-01,Surat Thani,16.29,5.96,37,76,0
2020-01-01,Ayutthaya,10.83,5.59,30,71,0
2020-01-01,Bangkok,4.04,5.08,26,69,0
2020-01-01,Nan,12.59,6.2,32,63,0
2020-01-01,Nakhon Ratchasima,13.1,4.44,29,92,0
2020-01-01,Chiang Rai,12.31,3.58,31,87,0
2020-01-01,Nan,18.65,6.06,30,92,0
2020-01-01,Khon Kaen,15.23,5.62,36,60,0
2020-01-01,Ayutthaya,5.81,5.86,26,82,0
2020-01-01,Bangkok,14.21,5.49,29,71,0
2020-01-01,Songkhla,8.96,6.39,34,94,0
2020-01-01,Ayutthaya,1.06,4.8,27,71,0
2020-01-01,Ayutthaya,19.21,5.3,33,76,0
2020-01-01,Nan,10.85,5.23,35,65,0
2020-01-01,Nakhon Ratchasima,17.34,5.42,37,79,0
2020-01-01,Ayutthaya,9.02,4.45,37,70,0
2020-01-01,Songkhla,18.33,6.73,28,60,0
2020-01-01,Surat Thani,1.65,5.0,30,65,0
2020-01-01,Sukhothai,16.27,6.03,27,79,0
2020-01-01,Nakhon Si Thammarat,8.74,5.61,26,91,0
2020-01-01,Nan,19.94,6.82,26,62,0
2020-01-01,Ubon Ratchathani,5.57,4.75,37,76,0
2020-01-01,Ubon Ratchathani,6.45,5.61,36,82,0
2020-01-01,Ubon Ratchathani,4.83,6.21,34,80,0
2020-01-01,Songkhla,7.2,6.13,35,63,0
2020-01-01,Pathum Thani,12.69,5.19,27,64,0
2020-01-01,Chiang Mai,0.52,4.79,32,60,0
2020-01-01,Ubon Ratchathani,7.24,4.58,25,64,0
2020-01-01,Chiang Mai,2.78,6.05,36,73,0
2020-01-01,Sukhothai,7.89,5.32,34,91,0
2020-01-01,Chiang Mai,6.07,5.2,25,83,0
2020-01-01,Ayutthaya,17.48,6.26,26,89,0
2020-01-01,Ubon Ratchathani,5.83,5.18,32,94,0
2020-01-01,Ayutthaya,2.27,5.93,32,94,0
2020-01-01,Ayutthaya,9.53,5.35,33,60,0
2020-01-01,Songkhla,8.2,4.95,36,73,0
2020-01-01,Nakhon Si Thammarat,10.61,5.25,26,91,0
2020-01-01,Nan,16.29,4.84,34,90,0
2020-01-01,Nan,11.51,5.62,31,84,0
2020-01-01,Chiang Rai,8.2,6.36,30,78,0
2020-01-01,Ayutthaya,7.89,6.12,28,90,0
2020-01-01,Surat Thani,2.92,7.16,25,65,0
2020-01-01,Nakhon Sawan,11.01,7.41,28,93,0
2020-01-01,Nakhon Ratchasima,7.28,6.27,29,77,0
2020-01-01,Ubon Ratchathani,3.42,6.17,37,86,0
2020-01-01,Ayutthaya,13.55,5.07,25,79,0
2020-01-01,Ayutthaya,19.29,6.36,35,76,0
2020-01-01,Songkhla,4.37,5.75,31,74,0
2020-01-01,Bangkok,0.43,4.14,29,93,0
2020-01-01,Khon Kaen,17.11,5.91,27,74,0
2020-01-01,Surat Thani,0.77,6.07,35,78,0
2020-01-01,Ayutthaya,4.31,5.04,33,66,0
2020-01-01,Ubon Ratchathani,18.0,5.75,34,81,0
2020-01-01,Nakhon Sawan,12.91,6.39,25,64,0
2020-01-01,Chiang Rai,17.96,5.22,26,88,0
2020-01-01,Sukhothai,7.88,4.99,25,62,0
2020-01-01,Bangkok,15.07,5.24,31,85,0
2020-01-01,Khon Kaen,16.61,4.05,25,67,0
2020-01-01,Khon Kaen,11.41,4.1,26,80,0
2020-01-01,Phrae,1.37,4.63,26,87,0
2020-01-01,Nakhon Ratchasima,10.78,4.85,30,66,0
2020-01-01,Songkhla,14.0,4.48,35,66,0
2020-01-01,Sukhothai,10.75,6.44,30,91,0
2020-01-01,Songkhla,18.5,5.86,29,72,0
2020-01-01,Bangkok,10.76,4.64,33,87,0
2020-01-01,Nakhon Ratchasima,12.07,5.19,37,74,0
2020-01-01,Pathum Thani,12.58,5.69,27,92,0
2020-01-01,Bangkok,9.46,6.65,36,65,0
2020-01-01,Nakhon Sawan,5.7,4.69,31,86,0
2020-01-01,Surat Thani,19.12,5.29,33,61,0
2020-01-01,Ayutthaya,15.44,4.76,30,81,0
2020-01-01,Khon Kaen,2.17,4.65,30,80,0
2020-01-01,Surat Thani,5.92,5.8,26,91,0
2020-01-01,Songkhla,15.71,2.9,37,79,0
2020-01-01,Sukhothai,7.31,4.5,26,76,0
2020-01-01,Nakhon Sawan,15.36,6.54,26,80,0
2020-01-01,Chiang Mai,18.1,6.0,33,90,0
2020-01-01,Khon Kaen,3.77,4.0,28,80,0
2020-01-01,Phrae,6.25,5.17,32,69,0
2020-01-01,Phrae,8.63,4.97,35,71,0
2020-01-01,Pathum Thani,14.25,6.32,26,72,0
2020-01-01,Nakhon Si Thammarat,4.91,5.03,29,69,0
